productcode,productlink,sensordet,operatetemp,isp,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,chromedet,sortfps,connectordet,resolutiondet
e-CAM50_CUNX&nbsp;&nbsp;(Xavier NX/NANO),/nvidia-cameras/jetson-nx-cameras/5mp-mipi-camera-board.asp,AR0521,-30°C to 70°C,Yes,5,100FPS,86,all nvidia-camera,1/2.5,/webstore.asp#5mpnxcamera,Color,100,MIPI CSI-2,5.0 MP
e-CAM80_CUNX&nbsp;&nbsp;(Xavier NX/Nano),/nvidia-cameras/jetson-xavier-nx-cameras/sony-starvis-imx415-4k-mipi-camera.asp,IMX415,-30°C to 70°C,No,8,70FPS,87,platform,1/2.8,/webstore.asp#ecam80cunx,Color,70,MIPI CSI-2,8.0 MP
e-CAM24_CUNX&nbsp;(Xavier NX/Nano/TX2 NX),/nvidia-cameras/jetson-xavier-nx-cameras/full-hd-xavier-nx-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,88,all nvidia-camera platform,1/2.6,/webstore.asp#24cunx,Color,120,MIPI CSI-2,Full HD
e-CAM131_CUNX&nbsp;&nbsp;(Xavier NX/NANO),/nvidia-cameras/jetson-xavier-nx-cameras/4k-camera-for-jetson-nano-xavier-nx.asp,AR1335,-30°C to 70°C,Yes,13,115FPS,89,all nvidia-camera platform,1/3.2,/webstore.asp#13mpnxcamera,Color,115,MIPI CSI-2,13.0 MP
e-CAM23_CUNX&nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/2mp-ov2311-global-shutter-monochrome-camera.asp,OV2311,-30°C to 85°C,No,2,280FPS,90,platform,1/2.9,/webstore.asp,Mono,280,MIPI CSI-2,2.0 MP
e-CAM22_CUNX&nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,-30°C to 85°C,No,2,60FPS,91,,1/2.8,/webstore.asp#22cunx,Color,60,MIPI CSI-2,2.0 MP
e-CAM21_CUNX&nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/sony-imx327-ultra-low-light-camera.asp,IMX327,-30°C to 85°C,No,2,60FPS,92,,1/2.8,/webstore.asp,Color,60,MIPI CSI-2,2.0 MP
e-CAM82_CUNX&nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/4k-sony-starvis-imx485-camera.asp,IMX485,-30°C to 70°C,No,8,62FPS,93,,1/1.2,/webstore.asp,Color,62,MIPI CSI-2,8.0 MP
e-CAM81_CUNX&nbsp;&nbsp;(Xavier NX/TX2 NX/Nano),/nvidia-cameras/jetson-tx2-nx-cameras/ar0821-8mp-hdr-camera.asp,AR0821,-30°C to 70°C,Yes,8,30FPS,94,all nvidia-camera platform,1/1.7,/webstore.asp#ecam81cunx,Color,30,MIPI CSI-2,8.0 MP
e-CAM180_CUNX &nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/18mp-camera-for-jetson-xavier-nx.asp,AR1820,-30°C to 70°C,No,18,59FPS,95,,1/2.3,/webstore.asp,Color,59,MIPI CSI-2,18.0 MP
e-CAM180_CUXVR &nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/six-synchronized-18mp-camera.asp,AR1820,-30°C to 70°C,No,18,13FPS,96,,1/2.3,/webstore.asp,Color,13,MIPI CSI-2,18.0 MP
